video_id,splits,n_windows,n_pos,n_neg,low_quality_windows,valid_frac_mean,valid_frac_min,avg_conf_mean,frame_valid_min,low_frame_frac_50_mean
Subject.10/Kneel,train,18,0,18,0,0.8325617346498702,0.752525269985199,0.6959085563818613,0.5454545454545454,0.0
Subject.10/Pick up object,train,21,0,21,0,0.7800625307219369,0.5934343338012695,0.646119278101694,0.45454545454545453,0.09523809523809523
Subject.10/Sit down,train,16,0,16,0,0.8208649009466171,0.7424242496490479,0.6824275441467762,0.5151515151515151,0.0
Subject.10/Walk,train,15,0,15,0,0.901262629032135,0.7821969985961914,0.7674556136131286,0.6666666666666666,0.0
Subject.2/Fall backwards,train,7,5,2,0,0.8648087978363037,0.7657828330993652,0.7298040560313633,0.5757575757575758,0.0
Subject.2/Fall forward,train,5,5,0,0,0.9314393877983094,0.8945707082748413,0.7560350656509399,0.696969696969697,0.0
Subject.2/Fall left,train,6,6,0,0,0.9070917467276255,0.8484848737716675,0.8297450542449951,0.7272727272727273,0.0
Subject.2/Fall right,train,9,9,0,0,0.7301487061712477,0.6843434572219849,0.6109056737687852,0.6060606060606061,0.0
Subject.2/Fall sitting,train,10,7,3,0,0.9755050420761109,0.9387626051902771,0.8729546248912812,0.7575757575757576,0.0
Subject.2/Hop,train,11,0,11,0,0.9248737421902743,0.8459596037864685,0.8059030066836964,0.7575757575757576,0.0
Subject.2/Kneel,train,7,0,7,0,0.8320707082748413,0.8112373948097229,0.7120500462395805,0.7575757575757576,0.0
Subject.2/Pick up object,train,10,0,10,0,0.8079545438289643,0.7424242496490479,0.6643567085266113,0.5757575757575758,0.0
Subject.2/Sit down,train,6,0,6,0,0.7657828231652578,0.7335858345031738,0.6393299996852875,0.48484848484848486,0.006944444444444444
Subject.2/Walk,train,17,0,17,0,0.9269162206088796,0.8213383555412292,0.8013935825403999,0.6060606060606061,0.0
Subject.3/Fall backwards,train,10,8,2,0,0.9808712184429169,0.9103535413742065,0.8537151038646698,0.5454545454545454,0.0
Subject.3/Fall forward,train,9,5,4,0,0.9624018006854587,0.9210858345031738,0.8334206210242378,0.7575757575757576,0.0
Subject.3/Fall left,train,11,6,5,0,0.9237258921970021,0.8958333134651184,0.7593327327208086,0.7272727272727273,0.0
Subject.3/Fall right,train,15,14,1,0,0.7755892197291057,0.6616161465644836,0.6677103757858276,0.5757575757575758,0.0
Subject.3/Fall sitting,train,13,12,1,0,0.8241064594342158,0.7638888955116272,0.6139799127211938,0.6060606060606061,0.0
Subject.3/Hop,train,10,0,10,0,0.9448232352733612,0.8282828330993652,0.8606160283088684,0.7272727272727273,0.0
Subject.3/Kneel,train,14,0,14,0,0.8345959612301418,0.7828282713890076,0.7142458472933088,0.696969696969697,0.0
Subject.3/Pick up object,train,12,0,12,0,0.816077450911204,0.6218434572219849,0.7125540922085444,0.45454545454545453,0.06944444444444445
Subject.3/Sit down,train,18,0,18,0,0.8216540416081747,0.7550504803657532,0.6699295971128676,0.45454545454545453,0.017361111111111112
Subject.3/Walk,train,11,0,11,0,0.9504706209356134,0.9166666865348816,0.8341751315376975,0.8181818181818182,0.0
Subject.4/Fall backwards,train,13,11,2,0,0.8928710176394536,0.810606062412262,0.8082469747616694,0.6060606060606061,0.0
Subject.4/Fall forward,train,11,11,0,0,0.9345729947090149,0.8819444179534912,0.8196247870271857,0.8181818181818182,0.0
Subject.4/Fall left,train,10,8,2,0,0.9213383913040161,0.8857323527336121,0.7818589627742767,0.7878787878787878,0.0
Subject.4/Fall right,train,9,9,0,0,0.8275813725259569,0.754419207572937,0.6995164818233914,0.6060606060606061,0.0
Subject.4/Fall sitting,train,13,11,2,0,0.7042055221704336,0.6515151262283325,0.5714869040709275,0.5757575757575758,0.0
Subject.4/Hop,train,9,0,9,0,0.9527216553688049,0.8844696879386902,0.8362971676720513,0.7272727272727273,0.0
Subject.4/Kneel,train,15,0,15,0,0.8640993277231852,0.7449495196342468,0.7285007913907369,0.6060606060606061,0.0
Subject.4/Pick up object,train,12,0,12,0,0.9437605192263921,0.8560606241226196,0.8193487574656805,0.6363636363636364,0.0
Subject.4/Sit down,train,13,0,13,0,0.8744172499730036,0.7828282713890076,0.7307576674681443,0.7272727272727273,0.0
Subject.4/Walk,train,17,0,17,0,0.9309640561833101,0.8945707082748413,0.8274645139189327,0.696969696969697,0.0
Subject.5/Fall backwards,train,14,13,1,0,0.9785804493086678,0.8522727489471436,0.9347912328583854,0.6363636363636364,0.0
Subject.5/Fall forward,train,13,12,1,0,0.9510975159131564,0.9179292917251587,0.7948492857126089,0.7272727272727273,0.0
Subject.5/Fall left,train,17,14,3,0,0.964163692558513,0.881313145160675,0.8086800610317904,0.5757575757575758,0.0
Subject.5/Fall right,train,15,12,3,0,0.9853535374005635,0.9488636255264282,0.860591713587443,0.8484848484848485,0.0
Subject.5/Fall sitting,train,16,14,2,0,0.9896227940917015,0.9381313323974609,0.8736032471060753,0.696969696969697,0.0
Subject.5/Hop,train,7,0,7,0,0.9617604613304138,0.8339646458625793,0.8050682289259774,0.6363636363636364,0.0
Subject.5/Kneel,train,14,0,14,0,0.9175685431276049,0.8453282713890076,0.7518830043928963,0.6060606060606061,0.0
Subject.5/Pick up object,train,19,0,19,0,0.8726076577839098,0.6748737096786499,0.7518191212101987,0.48484848484848486,0.0043859649122807015
Subject.5/Sit down,train,18,0,18,0,0.8319654862085978,0.6515151262283325,0.7019038597742716,0.5151515151515151,0.0
Subject.5/Walk,train,15,0,15,0,0.9501262625058492,0.8674242496490479,0.8432538906733195,0.7575757575757576,0.0
Subject.6/Fall backwards,test,18,14,4,0,0.8898007803493075,0.7121211886405945,0.7247055470943451,0.45454545454545453,0.027777777777777776
Subject.6/Fall forward,test,13,10,3,0,0.9419677532636203,0.8282828330993652,0.8214967525922335,0.6060606060606061,0.0
Subject.6/Fall left,test,16,15,1,8,0.8101325798779726,0.42297980189323425,0.6055672150105238,0.0,0.15625
Subject.6/Fall right,test,16,13,3,0,0.9367108643054962,0.8907828330993652,0.7171141840517521,0.5757575757575758,0.0
Subject.6/Fall sitting,test,17,12,5,0,0.9154783066581277,0.879419207572937,0.7086440815645105,0.7272727272727273,0.0
Subject.6/Hop,test,10,0,10,0,0.9984848499298096,0.9962121248245239,0.8892871558666229,0.9696969696969697,0.0
Subject.6/Kneel,test,12,0,12,0,0.9127735743920008,0.8314393758773804,0.7466014673312505,0.696969696969697,0.0
Subject.6/Pick up object,test,13,0,13,11,0.65811966244991,0.28787878155708313,0.4978643082655393,0.0,0.2692307692307692
Subject.6/Sit down,test,12,0,12,0,0.8530618647734324,0.7272727489471436,0.6938723425070444,0.5454545454545454,0.0
Subject.6/Walk,test,19,0,19,0,0.8545986131617898,0.6167929172515869,0.745565298356508,0.48484848484848486,0.04385964912280702
Subject.7/Fall backwards,train,18,14,4,0,0.9195075763596429,0.7601010203361511,0.8307943940162659,0.6363636363636364,0.0
Subject.7/Fall forward,train,10,10,0,0,0.9594065725803376,0.8888888955116272,0.8638910591602326,0.7272727272727273,0.0
Subject.7/Fall left,train,14,11,3,0,0.988185431276049,0.9482323527336121,0.8126691579818726,0.7575757575757576,0.0
Subject.7/Fall right,train,10,10,0,0,0.888194453716278,0.756313145160675,0.752952492237091,0.5757575757575758,0.0
Subject.7/Fall sitting,train,14,14,0,0,0.7788149331297193,0.6761363744735718,0.639827276979174,0.48484848484848486,0.047619047619047616
Subject.7/Hop,train,13,0,13,0,0.9590132053081806,0.872474730014801,0.8361508204386785,0.5454545454545454,0.0
Subject.7/Kneel,train,13,0,13,0,0.8137140640845666,0.7398989796638489,0.6878580221763024,0.5757575757575758,0.0
Subject.7/Pick up object,train,9,0,9,0,0.7591891090075175,0.6540403962135315,0.6310315330823263,0.5151515151515151,0.0
Subject.7/Sit down,train,13,0,13,0,0.8801961953823383,0.7064393758773804,0.7657895317444434,0.5151515151515151,0.0
Subject.7/Walk,train,13,0,13,0,0.9163752977664654,0.8112373948097229,0.8099553814301124,0.6060606060606061,0.0
Subject.8/Fall backwards,train,14,12,2,4,0.8650793603488377,0.6729797720909119,0.7413869457585471,0.0,0.059523809523809534
Subject.8/Fall forward,train,7,7,0,0,0.9288419825690133,0.8566918969154358,0.7514840534755162,0.45454545454545453,0.026785714285714284
Subject.8/Fall left,train,13,12,1,0,0.9375485594456012,0.8560606241226196,0.8061264936740582,0.6666666666666666,0.0
Subject.8/Fall right,train,16,15,1,5,0.8784722276031971,0.6357323527336121,0.6440135966986418,0.0,0.08333333333333333
Subject.8/Fall sitting,train,16,13,3,0,0.8845880702137947,0.7178030014038086,0.7244990989565849,0.696969696969697,0.0
Subject.8/Hop,train,10,0,10,0,0.8934974730014801,0.7739899158477783,0.7926525413990021,0.6363636363636364,0.0
Subject.8/Kneel,train,18,0,18,8,0.7687991029686398,0.6477272510528564,0.5917725265026093,0.0,0.1365740740740741
Subject.8/Pick up object,train,19,0,19,4,0.6407496019413597,0.4816919267177582,0.5052068155062827,0.45454545454545453,0.32894736842105265
Subject.8/Sit down,train,14,0,14,0,0.918064568723951,0.8125,0.7817853561469487,0.7272727272727273,0.0
Subject.8/Walk,train,15,0,15,0,0.9287457823753357,0.875,0.7950077970822652,0.6363636363636364,0.0
Subject.9/Fall backwards,val,18,16,2,0,0.8645131886005402,0.6123737096786499,0.7566642330752479,0.5454545454545454,0.0
Subject.9/Fall forward,val,9,8,1,0,0.9299242496490479,0.8806818127632141,0.7810787161191305,0.7272727272727273,0.0
Subject.9/Fall left,val,14,13,1,0,0.9372745411736625,0.8251262903213501,0.7288397933755603,0.6363636363636364,0.0
Subject.9/Fall right,val,12,11,1,0,0.8645307173331579,0.7714646458625793,0.7082433501879374,0.696969696969697,0.0
Subject.9/Fall sitting,val,15,11,4,0,0.9089225570360819,0.8428030014038086,0.7183012167612711,0.6666666666666666,0.0
Subject.9/Hop,val,14,0,14,0,0.9857503686632428,0.9501262903213501,0.8810155434267861,0.8484848484848485,0.0
Subject.9/Kneel,val,15,0,15,0,0.8779040336608886,0.7948232293128967,0.7537497520446778,0.7272727272727273,0.0
Subject.9/Pick up object,val,15,0,15,0,0.8500841776529948,0.7765151262283325,0.7435484011967977,0.6363636363636364,0.0
Subject.9/Sit down,val,16,0,16,0,0.7986505702137947,0.7184343338012695,0.6769455149769783,0.5151515151515151,0.0
Subject.9/Walk,val,16,0,16,0,0.8828124925494194,0.689393937587738,0.7428963221609592,0.5454545454545454,0.0
