video_id,splits,n_windows,n_pos,n_neg,low_quality_windows,valid_frac_mean,valid_frac_min,avg_conf_mean,frame_valid_min,low_frame_frac_50_mean,ctr_s2025_recall,ctr_s2025_delay_s,ctr_s2025_false_alerts,ctr_s2025_alert_frac,ctr_s1337_recall,ctr_s1337_delay_s,ctr_s1337_false_alerts,ctr_s1337_alert_frac,ctr_s17_recall,ctr_s17_delay_s,ctr_s17_false_alerts,ctr_s17_alert_frac,ctr_s33724876_recall,ctr_s33724876_delay_s,ctr_s33724876_false_alerts,ctr_s33724876_alert_frac,ctr_s42_recall,ctr_s42_delay_s,ctr_s42_false_alerts,ctr_s42_alert_frac,tcn_rtA_recall,tcn_rtA_delay_s,tcn_rtA_false_alerts,tcn_rtA_alert_frac,tcn_rtD_recall,tcn_rtD_delay_s,tcn_rtD_false_alerts,tcn_rtD_alert_frac
Subject.10/Fall sitting,train,21,18,3,0,0.8825156376475379,0.629419207572937,0.7651825291769845,0.6060606060606061,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.10/Hop,train,17,0,17,0,0.9007724313174977,0.7392676472663879,0.7646819949150085,0.6363636363636364,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.10/Kneel,train,18,0,18,0,0.853395058049096,0.690025269985199,0.7134857707553439,0.6060606060606061,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.10/Pick up object,train,21,0,21,6,0.8490259704135713,0.6458333134651184,0.6578192512194315,0.0,0.05753968253968254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.10/Sit down,train,16,0,16,5,0.7048611119389534,0.6010100841522217,0.5779895111918449,0.0,0.05859375000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.10/Walk,train,15,0,15,1,0.9445286234219868,0.8699495196342468,0.7799415111541748,0.0,0.0013888888888888887,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.2/Fall backwards,train,7,5,2,1,0.8579545446804592,0.8226010203361511,0.6778765916824341,0.0,0.002976190476190476,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.2/Fall forward,train,5,5,0,2,0.9041666746139526,0.6666666865348816,0.7189014434814454,0.0,0.09583333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.2/Fall left,train,6,6,0,1,0.940972218910853,0.8636363744735718,0.8271979987621307,0.0,0.003472222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.2/Fall right,train,9,9,0,0,0.744458470079634,0.6969696879386902,0.6474860774146186,0.696969696969697,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.2/Fall sitting,train,10,7,3,1,0.9969696998596191,0.9696969985961914,0.8465118110179901,0.0,0.0020833333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.2/Hop,train,11,0,11,1,0.887568863955411,0.8257575631141663,0.7173891338435087,0.0,0.0018939393939393938,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.2/Kneel,train,7,0,7,0,0.7619047505514962,0.6906565427780151,0.6094685452325004,0.5757575757575758,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.2/Pick up object,train,10,0,10,1,0.9039772689342499,0.7979797720909119,0.698665463924408,0.0,0.010416666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.2/Sit down,train,6,0,6,0,0.7058080732822418,0.6395202279090881,0.5892146229743958,0.5757575757575758,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.2/Walk,train,17,0,17,1,0.8650103912634008,0.618686854839325,0.7036599481807035,0.0,0.03063725490196078,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.3/Fall backwards,train,10,8,2,0,0.9782196998596191,0.9046717286109924,0.8029684901237488,0.7575757575757576,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.3/Fall forward,train,9,5,4,7,0.7173821594980028,0.5915403962135315,0.4231382840209537,0.0,0.10416666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.3/Fall left,train,11,6,5,5,0.8184113881804727,0.6641414165496826,0.5904692275957628,0.0,0.06818181818181818,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.3/Fall right,train,15,14,1,0,0.7936868667602539,0.6944444179534912,0.687808342774709,0.6666666666666666,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.3/Fall sitting,train,13,12,1,0,0.7602467078429002,0.6546717286109924,0.577268545444195,0.6060606060606061,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.3/Hop,train,10,0,10,2,0.8948232352733612,0.5770202279090881,0.7616472035646439,0.0,0.05416666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.3/Kneel,train,14,0,14,0,0.8550685516425541,0.7702020406723022,0.7573686625276294,0.7575757575757576,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.3/Pick up object,train,12,0,12,1,0.9069339235623678,0.7746211886405945,0.6524382332960764,0.0,0.003472222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.3/Sit down,train,18,0,18,0,0.80471380882793,0.7449495196342468,0.6579257779651217,0.6060606060606061,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.3/Walk,train,11,0,11,6,0.7224517871033062,0.3042929172515869,0.5482172139666297,0.0,0.2121212121212121,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.4/Fall backwards,train,13,11,2,1,0.9427933188585135,0.8806818127632141,0.775053817492265,0.0,0.0016025641025641025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.4/Fall forward,train,11,11,0,1,0.9483471079306169,0.7777777910232544,0.7697987827387723,0.0,0.01893939393939394,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.4/Fall left,train,10,8,2,0,0.9720959603786469,0.9103535413742065,0.8141080498695373,0.8484848484848485,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.4/Fall right,train,9,9,0,0,0.8127104308870103,0.7285353541374207,0.6923844615618387,0.7272727272727273,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.4/Fall sitting,train,13,11,2,1,0.6717171714856074,0.47853535413742065,0.5374176204204559,0.45454545454545453,0.2516025641025641,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.4/Hop,train,9,0,9,1,0.9191919300291274,0.8093434572219849,0.7942365474171109,0.0,0.020833333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.4/Kneel,train,15,0,15,0,0.6824074069658915,0.5321969985961914,0.6107022404670716,0.48484848484848486,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.4/Pick up object,train,12,0,12,0,0.9410774409770966,0.8585858345031738,0.7628271579742432,0.7272727272727273,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.4/Sit down,train,13,0,13,0,0.8573232338978694,0.7752525210380554,0.6754763218072745,0.6666666666666666,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.4/Walk,train,17,0,17,2,0.9294786067569957,0.7916666865348816,0.762461195973789,0.0,0.020833333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.5/Fall backwards,train,14,13,1,1,0.989402962582452,0.9324495196342468,0.9288844210760934,0.0,0.001488095238095238,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.5/Fall forward,train,13,12,1,4,0.8884032597908607,0.7045454382896423,0.6864730899150555,0.0,0.06570512820512821,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.5/Fall left,train,17,14,3,5,0.9456699420424068,0.7916666865348816,0.8081633658970103,0.0,0.05024509803921569,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.5/Fall right,train,15,12,3,4,0.8420875390370687,0.0625,0.7381542285283407,0.0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.5/Fall sitting,train,16,14,2,1,0.9910037890076637,0.9280303120613098,0.8726750463247299,0.0,0.0013020833333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.5/Hop,train,7,0,7,2,0.9243326016834804,0.7083333134651184,0.8296590362276349,0.0,0.04761904761904762,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.5/Kneel,train,14,0,14,0,0.8564664466040475,0.7859848737716675,0.7323182310376849,0.7575757575757576,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.5/Pick up object,train,19,0,19,6,0.8840709736472682,0.5157828330993652,0.7387911959698326,0.0,0.07456140350877194,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.5/Sit down,train,18,0,18,1,0.8620931605497996,0.7013888955116272,0.6737758484151628,0.0,0.0011574074074074073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.5/Walk,train,15,0,15,3,0.8949494977792104,0.39898988604545593,0.7482697705427805,0.0,0.06805555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.6/Fall backwards,test,18,14,4,1,0.8902918100357056,0.689393937587738,0.8044651481840346,0.0,0.0011574074074074073,1.0,4.69565224647522,0,0.2777777777777778,1.0,3.6521737575531006,0,0.3888888888888889,1.0,5.2173912525177,0,0.2222222222222222,1.0,4.69565224647522,0,0.2777777777777778,1.0,3.6521737575531006,0,0.3888888888888889,1.0,5.739130258560181,0,0.16666666666666666,1.0,5.2173912525177,0,0.2222222222222222
Subject.6/Fall forward,test,13,10,3,2,0.9583333363899817,0.6041666865348816,0.7994085894181178,0.0,0.041666666666666664,1.0,4.695652008056641,0,0.07692307692307693,1.0,4.17391300201416,0,0.15384615384615385,0.0,nan,0,0.0,0.0,nan,0,0.0,1.0,4.695652008056641,0,0.07692307692307693,0.0,nan,0,0.0,1.0,4.695652008056641,0,0.07692307692307693
Subject.6/Fall left,test,16,15,1,16,0.1753077651374042,0.0,0.13405302679166198,0.0,0.82421875,1.0,3.13043475151062,0,0.5625,1.0,5.739130258560181,0,0.25,1.0,0.0,0,0.9375,1.0,6.260869741439819,0,0.1875,0.0,nan,0,0.0,0.0,nan,0,0.0,0.0,nan,0,0.0
Subject.6/Fall right,test,16,13,3,0,0.9785353429615498,0.9267676472663879,0.8684437312185764,0.8484848484848485,0.0,1.0,5.217391490936279,0,0.1875,1.0,3.6521739959716797,0,0.375,1.0,5.217391490936279,0,0.1875,1.0,5.217391490936279,0,0.1875,1.0,3.6521739959716797,0,0.375,1.0,5.217391490936279,0,0.1875,1.0,4.695652008056641,0,0.25
Subject.6/Fall sitting,test,17,12,5,5,0.8277257891262279,0.5549242496490479,0.6501758694648743,0.0,0.07352941176470588,1.0,4.69565224647522,0,0.17647058823529413,1.0,3.13043475151062,0,0.35294117647058826,1.0,4.69565224647522,0,0.17647058823529413,1.0,5.2173912525177,0,0.11764705882352941,1.0,3.6521737575531006,0,0.29411764705882354,1.0,5.2173912525177,0,0.11764705882352941,1.0,4.69565224647522,0,0.17647058823529413
Subject.6/Hop,test,10,0,10,3,0.9020833373069763,0.4375,0.7864566385746002,0.0,0.09375,nan,nan,0,0.0,nan,nan,0,0.0,nan,nan,0,0.0,nan,nan,0,0.0,nan,nan,0,0.0,nan,nan,0,0.0,nan,nan,0,0.0
Subject.6/Kneel,test,12,0,12,3,0.6901830782492956,0.38257575035095215,0.5712631717324257,0.0,0.09895833333333333,nan,nan,0,0.0,nan,nan,0,0.0,nan,nan,0,0.0,nan,nan,0,0.0,nan,nan,0,0.0,nan,nan,0,0.0,nan,nan,0,0.0
Subject.6/Pick up object,test,13,0,13,12,0.41788073227955747,0.0,0.3350881767960695,0.0,0.5817307692307693,nan,nan,0,0.0,nan,nan,0,0.0,nan,nan,0,0.0,nan,nan,0,0.0,nan,nan,0,0.0,nan,nan,0,0.0,nan,nan,0,0.0
Subject.6/Sit down,test,12,0,12,0,0.8419086833794912,0.751893937587738,0.6626074413458506,0.6666666666666666,0.0,nan,nan,0,0.0,nan,nan,0,0.0,nan,nan,0,0.0,nan,nan,0,0.0,nan,nan,0,0.0,nan,nan,0,0.0,nan,nan,0,0.0
Subject.6/Walk,test,19,0,19,0,0.8346956435002779,0.5031565427780151,0.7120426265816939,0.45454545454545453,0.11842105263157894,nan,nan,0,0.0,nan,nan,0,0.0,nan,nan,0,0.0,nan,nan,0,0.0,nan,nan,0,0.0,nan,nan,0,0.0,nan,nan,0,0.0
Subject.7/Fall backwards,train,18,14,4,1,0.9324144191212125,0.7771464586257935,0.8438422315650516,0.0,0.0011574074074074073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.7/Fall forward,train,10,10,0,1,0.993371206521988,0.9665403962135315,0.8450747787952423,0.0,0.0020833333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.7/Fall left,train,14,11,3,1,0.9890873006411961,0.941919207572937,0.8355432919093541,0.0,0.001488095238095238,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.7/Fall right,train,10,10,0,0,0.8763257563114166,0.8301767706871033,0.7183046996593475,0.7878787878787878,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.7/Fall sitting,train,14,14,0,1,0.8439754715987614,0.7733585834503174,0.6958264069897788,0.0,0.001488095238095238,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.7/Hop,train,13,0,13,1,0.9698912226236783,0.9204545617103577,0.8625560677968539,0.0,0.004807692307692308,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.7/Kneel,train,13,0,13,0,0.8586829854891851,0.8194444179534912,0.7405128479003906,0.7575757575757576,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.7/Pick up object,train,9,0,9,1,0.8305274976624383,0.7462121248245239,0.6447543700536092,0.0,0.0023148148148148147,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.7/Sit down,train,13,0,13,0,0.895299141223614,0.7190656661987305,0.7638764564807599,0.5454545454545454,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.7/Walk,train,13,0,13,1,0.9313325606859647,0.8377525210380554,0.8150330231739924,0.0,0.0016025641025641025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.8/Fall backwards,train,14,12,2,1,0.9080537515027183,0.8068181872367859,0.7925397753715515,0.0,0.001488095238095238,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.8/Fall forward,train,7,7,0,7,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.8/Fall left,train,13,12,1,0,0.9686285990935105,0.8857323527336121,0.8366685142883887,0.8484848484848485,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.8/Fall right,train,16,15,1,16,0.16319444496184587,0.0,0.13327033584937453,0.0,0.8229166666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.8/Fall sitting,train,16,13,3,3,0.8533380702137947,0.33017677068710327,0.7349071800708771,0.0,0.078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.8/Hop,train,10,0,10,1,0.8948863685131073,0.7859848737716675,0.7520618200302124,0.0,0.016666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.8/Kneel,train,18,0,18,8,0.6831509524749385,0.11489898711442947,0.6193904889126619,0.0,0.19907407407407407,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.8/Pick up object,train,19,0,19,2,0.6561004833171242,0.5183081030845642,0.5750818958407954,0.0,0.19517543859649122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.8/Sit down,train,14,0,14,4,0.807990622307573,0.20580808818340302,0.6522011214068958,0.0,0.11309523809523811,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.8/Walk,train,15,0,15,0,0.9501683592796326,0.8630050420761108,0.7735093792279562,0.7272727272727273,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.9/Fall backwards,val,18,16,2,0,0.8901164399252998,0.5940656661987305,0.7628306382232242,0.5757575757575758,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.9/Fall forward,val,9,8,1,2,0.819795184665256,0.4457070827484131,0.6710525916682349,0.0,0.07407407407407407,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.9/Fall left,val,14,13,1,1,0.8246302349226815,0.5827020406723022,0.6308240039008004,0.0,0.08779761904761905,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.9/Fall right,val,12,11,1,1,0.9113531162341436,0.8516414165496826,0.7558251917362213,0.0,0.012152777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.9/Fall sitting,val,15,11,4,0,0.9159932692845663,0.8851010203361511,0.6650951822598775,0.8181818181818182,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.9/Hop,val,14,0,14,1,0.9727182473455157,0.8996211886405945,0.8456750639847347,0.0,0.001488095238095238,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.9/Kneel,val,15,0,15,0,0.8077441056569418,0.6470959782600403,0.6840013305346171,0.6060606060606061,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.9/Pick up object,val,15,0,15,1,0.9404040376345316,0.8503788113594055,0.7539922873179118,0.0,0.008333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.9/Sit down,val,16,0,16,0,0.781052716076374,0.7272727489471436,0.6379868388175964,0.696969696969697,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.9/Walk,val,16,0,16,2,0.8609532825648785,0.6515151262283325,0.7082054615020752,0.0,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
