family,video_id,src,true_label,pred_label,match,event_count,max_p_fall,mean_p_fall,first_event_start_s,n_windows
ctr_gcn_c2_bbox_bone,corridor_adl__corridor_walk_1,/Users/ruzhan/fall_test/corridor_adl/corridor_walk_1.mp4,0,0,1,0,0.17887820303440094,0.02900375984609127,,20
ctr_gcn_c2_bbox_bone,corridor_adl__corridor_walk_2,/Users/ruzhan/fall_test/corridor_adl/corridor_walk_2.mp4,0,0,1,0,0.1927972286939621,0.023293260484933853,,18
ctr_gcn_c2_bbox_bone,kitchen__kitchen_back_1,/Users/ruzhan/fall_test/kitchen/kitchen_back_1.mp4,1,1,1,1,0.7947397232055664,0.07183629274368286,2.366666555404663,21
ctr_gcn_c2_bbox_bone,kitchen__kitchen_back_2,/Users/ruzhan/fall_test/kitchen/kitchen_back_2.mp4,1,1,1,1,0.9998676180839539,0.29146188497543335,19.16666603088379,34
ctr_gcn_c2_bbox_bone,kitchen__kitchen_front_1,/Users/ruzhan/fall_test/kitchen/kitchen_front_1.mp4,1,0,0,0,0.3993473947048187,0.08597218990325928,,14
ctr_gcn_c2_bbox_bone,kitchen__kitchen_front_2,/Users/ruzhan/fall_test/kitchen/kitchen_front_2.mp4,1,1,1,1,0.9996901154518127,0.3029128313064575,19.16666603088379,29
ctr_gcn_c2_bbox_bone,kitchen__kitchen_side_1,/Users/ruzhan/fall_test/kitchen/kitchen_side_1.mp4,1,1,1,1,0.9117071032524109,0.5830956697463989,7.166666507720947,36
ctr_gcn_c2_bbox_bone,kitchen__kitchen_side_2,/Users/ruzhan/fall_test/kitchen/kitchen_side_2.mp4,1,0,0,0,0.1914898306131363,0.023477725684642792,,29
ctr_gcn_c2_bbox_bone,kitchen_adl__kitchen_lie_1,/Users/ruzhan/fall_test/kitchen_adl/kitchen_lie_1.mp4,0,1,0,1,0.6489092111587524,0.15266260504722595,23.16666603088379,46
ctr_gcn_c2_bbox_bone,kitchen_adl__kitchen_lie_2,/Users/ruzhan/fall_test/kitchen_adl/kitchen_lie_2.mp4,0,1,0,1,0.9344984292984009,0.4612390995025635,11.166666984558105,28
ctr_gcn_c2_bbox_bone,kitchen_adl__kitchen_sit_1,/Users/ruzhan/fall_test/kitchen_adl/kitchen_sit_1.mp4,0,0,1,0,0.18236775696277618,0.011020497418940067,,34
ctr_gcn_c2_bbox_bone,kitchen_adl__kitchen_sit_2,/Users/ruzhan/fall_test/kitchen_adl/kitchen_sit_2.mp4,0,0,1,0,0.1455521136522293,0.02064577490091324,,31
ctr_gcn_c2_bbox_bone,kitchen_adl__kitchen_sit_bend_1,/Users/ruzhan/fall_test/kitchen_adl/kitchen_sit_bend_1.mp4,0,0,1,0,0.3446861207485199,0.028052685782313347,,55
ctr_gcn_c2_bbox_bone,kitchen_adl__kitchen_walk_1,/Users/ruzhan/fall_test/kitchen_adl/kitchen_walk_1.mp4,0,0,1,0,0.12742818892002106,0.019388563930988312,,39
tcn_c2_bbox,corridor__corridor_back_1,/Users/ruzhan/fall_test/corridor/corridor_back_1.mp4,1,1,1,1,0.9872938990592957,0.33332470059394836,11.166666984558105,26
tcn_c2_bbox,corridor__corridor_back_2,/Users/ruzhan/fall_test/corridor/corridor_back_2.mp4,1,1,1,1,0.9999995231628418,0.6284076571464539,11.966666221618652,30
tcn_c2_bbox,corridor__corridor_front_1,/Users/ruzhan/fall_test/corridor/corridor_front_1.mp4,1,1,1,1,0.9842625856399536,0.2823089361190796,2.366666555404663,26
tcn_c2_bbox,corridor__corridor_front_2,/Users/ruzhan/fall_test/corridor/corridor_front_2.mp4,1,1,1,1,0.9999990463256836,0.5262995362281799,11.966666221618652,25
tcn_c2_bbox,corridor__corridor_side_1,/Users/ruzhan/fall_test/corridor/corridor_side_1.mp4,1,1,1,1,0.9517907500267029,0.2689425051212311,10.366666793823242,30
tcn_c2_bbox,corridor__corridor_side_2,/Users/ruzhan/fall_test/corridor/corridor_side_2.mp4,1,1,1,1,0.9999969005584717,0.4645750820636749,13.566666603088379,26
tcn_c2_bbox,corridor_adl__corridor_bend_1,/Users/ruzhan/fall_test/corridor_adl/corridor_bend_1.mp4,0,0,1,0,0.17792992293834686,0.02531547285616398,,17
tcn_c2_bbox,corridor_adl__corridor_bend_2,/Users/ruzhan/fall_test/corridor_adl/corridor_bend_2.mp4,0,0,1,0,0.3735848367214203,0.10605263710021973,,15
tcn_c2_bbox,corridor_adl__corridor_squat_1,/Users/ruzhan/fall_test/corridor_adl/corridor_squat_1.mp4,0,0,1,0,0.2766244113445282,0.07270928472280502,,24
tcn_c2_bbox,corridor_adl__corridor_squat_2,/Users/ruzhan/fall_test/corridor_adl/corridor_squat_2.mp4,0,1,0,1,0.9999989867210388,0.45368194580078125,13.566666603088379,24
tcn_c2_bbox,corridor_adl__corridor_walk_1,/Users/ruzhan/fall_test/corridor_adl/corridor_walk_1.mp4,0,0,1,0,0.44459348917007446,0.11486241966485977,,20
tcn_c2_bbox,corridor_adl__corridor_walk_2,/Users/ruzhan/fall_test/corridor_adl/corridor_walk_2.mp4,0,0,1,0,0.4065704941749573,0.24822793900966644,,18
tcn_c2_bbox,kitchen__kitchen_back_1,/Users/ruzhan/fall_test/kitchen/kitchen_back_1.mp4,1,1,1,1,0.5472398996353149,0.16161078214645386,2.366666555404663,21
tcn_c2_bbox,kitchen__kitchen_back_2,/Users/ruzhan/fall_test/kitchen/kitchen_back_2.mp4,1,1,1,1,0.9999961853027344,0.3065159320831299,18.366666793823242,34
tcn_c2_bbox,kitchen__kitchen_front_1,/Users/ruzhan/fall_test/kitchen/kitchen_front_1.mp4,1,0,0,0,0.625227153301239,0.2127085030078888,,14
tcn_c2_bbox,kitchen__kitchen_front_2,/Users/ruzhan/fall_test/kitchen/kitchen_front_2.mp4,1,1,1,1,0.9999949932098389,0.32367080450057983,19.16666603088379,29
tcn_c2_bbox,kitchen__kitchen_side_1,/Users/ruzhan/fall_test/kitchen/kitchen_side_1.mp4,1,1,1,1,0.9999945163726807,0.8051031231880188,5.566666603088379,36
tcn_c2_bbox,kitchen__kitchen_side_2,/Users/ruzhan/fall_test/kitchen/kitchen_side_2.mp4,1,1,1,1,0.9657864570617676,0.47978654503822327,2.366666555404663,29
tcn_c2_bbox,kitchen_adl__kitchen_lie_1,/Users/ruzhan/fall_test/kitchen_adl/kitchen_lie_1.mp4,0,1,0,1,0.9999986886978149,0.3919864594936371,19.16666603088379,46
tcn_c2_bbox,kitchen_adl__kitchen_lie_2,/Users/ruzhan/fall_test/kitchen_adl/kitchen_lie_2.mp4,0,1,0,1,0.9997527003288269,0.579804003238678,10.366666793823242,28
tcn_c2_bbox,kitchen_adl__kitchen_sit_1,/Users/ruzhan/fall_test/kitchen_adl/kitchen_sit_1.mp4,0,0,1,0,0.8968709707260132,0.07953109592199326,,34
tcn_c2_bbox,kitchen_adl__kitchen_sit_2,/Users/ruzhan/fall_test/kitchen_adl/kitchen_sit_2.mp4,0,0,1,0,0.462287575006485,0.09800168126821518,,31
tcn_c2_bbox,kitchen_adl__kitchen_sit_bend_1,/Users/ruzhan/fall_test/kitchen_adl/kitchen_sit_bend_1.mp4,0,1,0,1,0.933779776096344,0.07791978865861893,44.766666412353516,55
tcn_c2_bbox,kitchen_adl__kitchen_walk_1,/Users/ruzhan/fall_test/kitchen_adl/kitchen_walk_1.mp4,0,0,1,0,0.7585150599479675,0.0972989946603775,,39
